Time,Open,High,Low,Close
2025-02-03,97520.61,101933.52,93380.66,95739.41
2025-02-10,95899.38,98377.49,94776.39,96540.67
2025-02-17,96436.08,98980.89,93562.89,95634.07
2025-02-24,95671.63,96387.05,78732.66,94363.13
2025-03-03,94373.07,94381.98,80538.25,80538.25
2025-03-10,80540.15,84970.53,76950.94,82304.41
2025-03-17,82299.56,86994.44,81359.12,85402.9
2025-03-24,85797.28,88160.36,82144.06,82236.47
2025-03-31,82245.65,87049.76,77611.72,77670.03
2025-04-07,77977.79,85345.63,74967.51,83294.7
2025-04-14,83298.58,85994.9,83251.36,85075.02
2025-04-21,85084.86,95429.72,85084.86,93675.34
2025-04-28,93679.43,97666.93,93186.38,94730.38
2025-05-05,94538.66,104653.94,93552.8,103676.3
2025-05-12,103688.57,105857.21,101475.56,105857.21
2025-05-19,105963.19,111632.43,102374.63,108438.36
2025-05-26,108504.5,110024.81,103439.34,105855.89
2025-06-02,105863.47,106541.95,101024.63,105881.47
2025-06-09,105873.61,110026.82,103515.09,105235.31
2025-06-16,105501.58,108408.63,98919.1,100923.45
2025-06-23,100980.86,108361.55,100856.32,108361.55
2025-06-30,108373.24,109971.28,105711.79,109336.04
2025-07-07,109214.55,118900.71,107642.88,118792.14
2025-07-14,118844.65,122753.05,116299.57,117467.05
2025-07-21,117470.84,120111.67,114884.7,119125.92
2025-07-28,119094.2,119258.22,112222.23,114190.59
2025-08-04,114205.12,118888.5,112985.54,118888.5
2025-08-11,118914.48,123654.41,117356.7,117586.32
2025-08-18,117558.95,117558.95,112170.75,113515.49
2025-08-25,113522.83,113522.83,107752.55,108555.54
2025-09-01,108493.39,112556.06,107180.61,111053.23
2025-09-08,111028.42,116253.87,110902.9,115810.49
2025-09-15,115597.5,117568.33,114769.16,115070.67
2025-09-22,115075.31,115101.67,108832.38,112071.89
2025-09-29,112111.5,125000.54,111706.72,123182.41
2025-10-06,123206.81,125666.67,109805.46,114928.11
2025-10-13,114901.0,115992.01,104552.09,108668.09
2025-10-20,108611.57,114713.04,107181.4,114713.04
2025-10-27,114749.08,116075.76,106969.73,109872.79
2025-11-03,110085.53,110223.39,99814.12,104638.69
2025-11-10,104639.81,106664.99,93356.1,94147.67
2025-11-17,94223.85,95533.04,82234.88,87084.67
2025-11-24,86874.92,92272.03,86016.44,91031.47
2025-12-01,90908.2,93611.58,84290.19,90070.27
2025-12-08,90108.59,94271.68,88125.7,88125.7
2025-12-15,88131.15,90085.73,85049.82,88204.8
2025-12-22,88326.01,90138.99,86900.22,87636.86
2025-12-29,87703.65,91314.44,87084.23,91230.47
2026-01-05,91261.09,94375.41,89948.78,90449.85
2026-01-12,90519.04,97653.63,90225.77,95332.7
2026-01-19,95217.82,95217.82,86151.58,86187.67
